,Place_name,City,State,Walk Score,Transit Score,Bike Score,Population_2021,Population_2022_Census,City_Population_Stats_adjusted_land_area__acres_,City_Population_Stats_density__people_acre_,City_Population_Stats_density_classification,City_Population_Stats_2000_population,City_Population_Stats_population_growth,City_Population_Stats_population_growth_classification,Parkland_Stats_by_City_total_acres,Parkland_Stats_by_City__natural,Parkland_Stats_by_City__designed,Parkland_Stats_by_City_total_park_units,Parkland_Stats_by_City_parks_as__city_area,Walkable_Park_Access_all_residents,Walkable_Park_Access_black,Walkable_Park_Access_hispanic_latinx,Walkable_Park_Access_asian,Walkable_Park_Access_other_race,Walkable_Park_Access_multiple_races,Walkable_Park_Access_pacific_islander,Walkable_Park_Access_american_indian_alaska_native,Walkable_Park_Access_all_people_of_color,Walkable_Park_Access_white,Walkable_Park_Access_low__75_city_income_,Walkable_Park_Access_middle,Walkable_Park_Access_high__125_city_median_income_,Walkable_Park_Access_children__u19_,Walkable_Park_Access_adults__19_64_,Walkable_Park_Access_seniors__65_,Distribution_of_Park_Space_low_income,Distribution_of_Park_Space_high_income,Distribution_of_Park_Space_black,Distribution_of_Park_Space_hispanic_latnix,Distribution_of_Park_Space_asian,Distribution_of_Park_Space_other_race,Distribution_of_Park_Space_multiple_races,Distribution_of_Park_Space_pacific_islander,Distribution_of_Park_Space_american_indian_alaska_native,Distribution_of_Park_Space_white,Distribution_of_Park_Space_neighborhoods_of_color,Number_of_Fields_and_Diamonds,Number_of_Courts,Number_of_Tennis_courts,Number_of_Pickleball_courts,Number_of_Pickleball_courts_overlay_tennis,Number_of_Standalone_Pickleball,Number_of_Volleyball_nets,Number_of_basketball_hoops_at_park_sites,Number_of_basketball_hoops_at_community_schoolyards,Number_of_Beaches,Number_of_Community_Garden_Sites,Number_of_Community_Garden_Plots,Number_of_Cooling_Centers,Number_of_Dog_Parks,Number_of_Drinking_fountains,Number_of_Playgrounds,Number_of_Rec_Centers,Number_of_senior_centers,Number_of_Restrooms_Freestanding_permanent,Number_of_Restrooms_In_park_buildings,Number_of_Restrooms_Semi_permanent,Number_of_Skate_parks,Number_of_Splashpads,Number_of_Swimming_pools,Number_of_Disc_Golf_Courses,Trail_Miles_Improved_Trails,Trail_Miles_Nature_trails,Number_of_Tracks_At_Park_Sites,Number_of_Tracks_At_community_schoolyards,Number_of_Exercise_Zones,Miles_of_car_free_roadways_in_parks,Permanent_car_free_roadways
12,"Stockton, CA",Stockton,CA,43.7,25.4,52.4,291707,323593.0,39378.0,8.217608817105999,Medium-High,242714.0,0.33322758472935227,Medium Fast,1199,0.058381984987489574,0.9416180150125104,67,0.030448473767078064,0.760187902950803,0.7881913424835539,0.760370583165757,0.753870529651426,0.7678132678132679,0.7535831992028819,0.7680859859446052,0.753870529651426,0.7625238741744713,0.7486049317547696,0.7830201077671178,0.7470351489133351,0.7425557995811839,0.7593031779569661,0.7596905747590679,0.7641692591986152,0.045777856397015926,-0.0009685540629915668,-0.1015986409879781,-0.08632301406157217,-0.07361158333305051,nan,0.08709229323602607,nan,nan,0.43451950636996095,-0.019573880630703533,98,128,68.0,11.0,10.0,1.0,7.0,108.0,60.0,0.0,2.0,33.0,5.0,3.0,130.0,75.0,0.0,5.0,44.0,0.0,0.0,2.0,5.0,5.0,0.0,22.36,0.0,0.0,0.0,1.0,0.0,0.0
13,"Chula Vista, CA",Chula Vista,CA,45.6,35.4,41.2,243916,278609.0,31767.0,8.77039065697107,Medium-High,173860.0,0.6024905096054296,Very Fast,2482,0.7780016116035455,0.22199838839645447,68,0.07813139421412157,0.7258855035116973,0.773327086749434,0.7013877551020408,0.8014638177310826,0.7282700421940929,0.7767450337160562,0.7170138888888888,0.8014638177310826,0.7271008735059293,0.7193212404915155,0.6699563920128528,0.7000246994895439,0.7658235908407834,0.7410873730724611,0.7281030022260995,0.680938296190002,-0.47305243518149753,0.6224563657970399,-0.44378076798334987,0.6819347693257289,0.4500759706565509,nan,0.546126961264219,nan,nan,0.563331401340855,-0.22872399450843295,71,,21.0,8.0,0.0,8.0,2.0,59.0,0.0,0.0,1.0,9.0,1.0,8.0,80.0,100.0,0.0,10.0,45.0,0.0,0.0,8.0,2.0,2.0,1.0,1.5,0.0,0.0,0.0,4.0,0.0,0.0
14,"Fremont, CA",Fremont,CA,49.9,36.3,54.4,214089,235898.0,49927.0,4.724858293107937,Medium-Low,203413.0,0.15969972420641748,Medium Slow,21957.41,0.9104689487512416,0.08953105124875839,75,0.4397902938289903,0.7303317435082142,0.7484732824427481,0.687971851193933,0.737330252703779,0.7706013363028953,0.7321757129714811,0.7474747474747475,0.737330252703779,0.7304060505933886,0.7298864205339025,0.7325581395348837,0.7338514762333539,0.728584972742356,0.7391096139238416,0.725441019590666,0.7351042407012556,-0.3414986051584987,0.644696417592876,-0.08059956979282512,-0.5675427510930179,1.755863403786027,nan,-0.0543676343724252,nan,nan,-0.14518250116106335,0.224508402181403,129,71,40.0,3.0,0.0,3.0,2.0,42.0,10.0,2.0,1.0,25.0,2.0,5.0,116.0,47.0,0.0,8.0,89.0,0.0,1.0,1.0,1.0,1.0,0.0,44.1,54.7,16.0,0.0,2.0,0.0,0.0
15,"Irvine, CA",Irvine,CA,43.2,25.7,69.5,212375,319103.0,41991.0,7.599318901669405,Medium-High,143034.0,1.230959072668037,Very Fast,11008,0.6695130813953488,0.3304869186046512,81,0.2621514133981091,0.9367692050778725,0.9260579064587974,0.9406710533471097,0.9369709200742236,0.9375,0.9388448471121178,0.9296187683284457,0.9369709200742236,0.9374373048168827,0.9354388479710295,0.914941737548552,0.9226327944572749,0.9271981142792229,0.9499291450165328,0.9296168574693746,0.9468851961453828,-0.0617835037873129,0.0013829920645009874,-0.19012996918494218,-0.04719818976822421,-0.1750829892226804,nan,-0.03387693379506418,nan,nan,0.819782005679752,-0.18018093748299957,167,186,101.0,16.0,8.0,8.0,27.0,88.0,392.0,0.0,3.0,25.0,18.0,2.0,228.0,118.0,6.0,24.0,87.0,79.0,2.0,1.0,2.0,8.0,1.0,494.66,113.24,25.0,9.0,33.0,0.0,0.0
16,"Detroit, MI",Detroit,MI,51.1,35.7,52.1,713777,637423.0,87833.0,7.257215397401888,Medium-High,951270.0,-0.32992420658698374,Limited or Decline,5134,0.22088040514218932,0.7791195948578107,304,0.05845183473182061,0.8349598050430823,0.8314487992981454,0.8264586450096174,0.9374333106993888,0.8444309927360775,0.8341718555417186,0.8611111111111112,0.9374333106993888,0.8331021520664138,0.8527589113083139,0.8440000994184024,0.8390456526726313,0.848854197938557,0.8263202836845788,0.8373111277841366,0.8407421013960323,0.4897761356864081,-0.05644992676785865,0.09872904559808493,0.33426355289933096,nan,nan,0.252373902134013,nan,nan,0.5766722867643119,-0.260085790321105,217,341,86.0,10.0,0.0,10.0,9.0,185.0,185.0,1.0,4.0,0.0,12.0,7.0,24.0,305.0,6.0,17.0,32.0,0.0,3.0,4.0,11.0,7.0,1.0,132.0,3.0,0.0,0.0,23.0,0.0,0.0
17,"Chicago, IL",Chicago,IL,77.2,65.0,72.2,2695598,2750534.0,136157.0,20.20119420962565,High,2895964.0,-0.05021816569542992,Limited or Decline,13866,0.3717005625270446,0.6282994374729555,646,0.10183831899939041,0.9807924235245139,0.9863781099483863,0.9725788140773731,0.9891224398885309,0.9832392963823432,0.9870745132404086,0.9902912621359223,0.9891224398885309,0.9806388235518284,0.9811201420095186,0.9841499887098335,0.9825093982115632,0.9829460256419454,0.9783405160922745,0.981962187647171,0.9797472173264103,0.27330751506638196,0.016273067631658922,0.29434489353179605,-0.3938890001356198,0.416099027054033,nan,0.6226446390374809,nan,nan,0.10996797501602407,0.2065796151451731,997,1062,501.0,35.0,0.0,35.0,134.0,1055.0,167.0,28.0,90.0,600.0,251.0,30.0,1250.0,980.0,6.0,251.0,337.0,0.0,0.0,6.0,242.0,79.0,2.0,80.2,104.69999999999999,1.0,31.0,27.0,0.0,0.0
18,"Seattle, WA",Seattle,WA,74.4,59.6,71.1,608660,761152.0,52810.0,14.41302783563719,High,563375.0,0.3510574661637453,Medium Fast,6480,0.39861111111111114,0.6013888888888889,501,0.1227040333270214,0.9852596495566189,0.9854879256494249,0.9827531394054999,0.985781774889477,0.984829848298483,0.984886826936595,0.9768563162970106,0.985781774889477,0.9847916845522561,0.9855654701820972,0.9881874761844278,0.9876995625248566,0.9854946244495288,0.9839504280615708,0.9861660819543786,0.9827632201712491,-0.1330095200286726,0.2974710999520529,0.09146117600302306,-0.03253217968604527,0.4217779117562821,nan,0.03108183348660898,nan,nan,0.29026472496658196,0.397044192870454,146,232,151.0,156.0,70.0,86.0,0.0,224.0,0.0,9.1,31.0,1494.0,3.0,15.0,214.0,175.0,0.0,24.0,132.0,12.0,0.0,11.0,10.0,10.0,1.0,3.3,115.0,0.0,0.0,18.0,0.0,0.0
19,"Spokane, WA",Spokane,WA,49.2,36.0,52.1,208916,233034.0,40957.0,5.689723368410772,Medium-Low,196143.0,0.1880821645432159,Medium Slow,3669.8,0.4556106599814704,0.5443893400185296,106,0.08960128915692067,0.8544066813999207,0.863969363969364,0.8702177389592816,0.7987304536305929,0.839622641509434,0.8658038538970376,0.8962432915921288,0.7987304536305929,0.8613820987425349,0.852269295421522,0.8815244813481274,0.8752364935883961,0.8126542324246772,0.851899226961793,0.8594584145017622,0.8410649356987725,-0.2775152195406909,0.7378711435368941,-0.2579068981580024,-0.19871558797031164,-0.21652783493105754,nan,-0.03536311293937955,nan,nan,1.4922107264814932,-0.23887376162844132,93,,39.0,17.0,0.0,17.0,3.0,66.0,0.0,0.0,0.0,1114.0,1.0,2.0,111.0,85.0,0.0,10.0,85.0,0.0,3.0,4.0,19.0,6.0,4.0,46.5,0.0,1.0,0.0,3.0,4.3,3.8
20,"Portland, OR",Portland,OR,67.3,49.3,82.7,583776,665438.0,82228.0,8.092596195942988,Medium-High,529025.0,0.25785737914087237,Medium Fast,14662,0.7429409357522848,0.2570590642477152,333,0.17830909179354965,0.9029039263718439,0.9049557098395978,0.8965690331158171,0.9010664509940377,0.911628980156899,0.9056433692507652,0.8937483920761513,0.9010664509940377,0.9015189614273698,0.9036155319742323,0.9180223128716765,0.9147025813692481,0.9006395632719385,0.8955919433271298,0.9085341748285937,0.8887749164110506,-0.3381988017683256,0.632041882004416,-0.36953967679652844,-0.18258614913530857,0.05122585843300698,nan,-0.3216166443699452,nan,nan,0.7299984696686139,-0.26579216054873644,162,227,120.0,54.0,54.0,0.0,24.0,221.0,0.0,5.0,59.0,2702.0,7.0,38.0,316.0,137.0,9.0,15.0,400.0,0.0,0.0,8.0,19.0,12.0,1.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0
21,"New York, NY",New York,NY,88.0,88.6,69.3,8175133,8840134.0,186181.0,47.481397135046,High,8008278.0,0.10387451584472966,Limited or Decline,39796,0.48535028646095085,0.5146497135390492,4291,0.21374898620159952,0.9917808262907758,0.9910219692668312,0.9942689914878974,0.9922299037744482,0.9888453470788143,0.9927532490998026,0.9916417910447761,0.9922299037744482,0.9926567510090136,0.9898032914337263,0.9949388194572774,0.9927759026815013,0.9916360609833608,0.9924889608360113,0.9918765628879612,0.9904013150176967,0.20129544592693693,0.475992925625794,-0.17378237417333176,0.3439859878209679,-0.47958862669687274,nan,-0.2257109692967746,nan,nan,0.372534770286016,0.003572741124924894,1311,4561,665.0,38.0,0.0,38.0,123.0,2943.0,1336.0,19.0,387.0,7378.0,5.0,159.0,3921.0,1951.0,36.0,154.0,737.0,0.0,7.0,41.0,595.0,66.0,14.0,445.5,353.0,82.0,27.0,179.0,24.0,4.0
22,"Buffalo, NY",Buffalo,NY,66.6,47.5,62.8,261310,279145.0,25304.0,11.031655074296554,High,292648.0,-0.04614075613023154,Limited or Decline,2383,0.21233738984473352,0.7876626101552665,216,0.09417483401833703,0.9077857398781799,0.9117411857595481,0.9294594294594295,0.9508437270726339,0.9121851599727706,0.8944066910611604,0.9090909090909091,0.9508437270726339,0.9192036717630895,0.889714523666312,0.9059200855271949,0.8977284354855213,0.8862454655380895,0.9207670883137983,0.9054786489429163,0.8959006673332248,0.1429235634416539,0.466172126124879,-0.0846890609065416,0.010276641143702081,-0.20026943930768737,nan,0.00878757629041993,nan,nan,1.065973693002893,-0.06000113911766314,101,130,48.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,178.0,0.0,3.0,2.0,77.0,0.0,28.0,56.0,1.0,2.0,1.0,11.0,9.0,0.0,1.3,5.0,0.0,0.0,3.0,0.0,0.0
23,"Phoenix, AZ",Phoenix,AZ,41.4,35.6,55.9,1445632,1647147.0,328457.0,5.014802546452047,Medium-Low,1320994.0,0.24689968311741006,Medium Fast,51019.93,0.7657582046858943,0.2342417953141057,234,0.1553321439336047,0.4926602976299835,0.5338475007295619,0.5213307781032018,0.43578536644384624,0.4815936626281454,0.47950657271333325,0.44893040072310936,0.43578536644384624,0.5140924287694634,0.46234309623430964,0.5255238587991816,0.4936039995018414,0.46311084979384054,0.4977337640850589,0.4914401211272435,0.48705634811239423,-0.26422622898078807,0.7555076627316999,-0.09508904032182608,-0.29321454327725716,0.26423346362600797,nan,-0.04862232193600302,nan,nan,0.569085108278677,-0.18682448517854278,217,,123.0,62.0,0.0,62.0,112.0,454.0,0.0,0.0,6.0,89.0,14.0,12.0,430.0,162.0,11.0,32.0,158.0,0.0,3.0,8.0,11.0,29.0,4.0,212.0,242.0,54.0,0.0,280.0,10.0,0.0
24,"Tucson, AZ",Tucson,AZ,43.2,34.5,66.3,520116,548705.0,153087.0,3.5842690757543094,Low,486591.0,0.1276513540118909,Medium Slow,6195,0.43857949959644876,0.5614205004035513,162,0.040467185325991105,0.6367037961835907,0.6187133656559809,0.6502913768097062,0.6485693323550991,0.6559546313799622,0.6292533540734979,0.6159368269921034,0.6485693323550991,0.6466090565670649,0.6237423607306518,0.6874771766915332,0.6435296339259219,0.6035951447855432,0.639812993951987,0.6367081050817994,0.6317978955218663,-0.09004555515442914,0.425380231318089,-0.10231068769389173,0.9617993929128741,-0.18099382745374992,nan,-0.4295826597181728,nan,nan,-0.08831070284131382,0.945008778959612,179,206,57.0,12.0,0.0,12.0,28.0,165.0,71.0,0.0,6.0,121.0,6.0,10.0,567.0,145.0,5.0,22.0,100.0,0.0,10.0,4.0,6.0,28.0,4.0,31.6,3.2,25.0,11.0,31.0,1.6,0.0
